,displacement_right
0,1.5381515005078003e-05
1,1.5381515005078003e-05
2,1.5381515005078003e-05
3,1.4596851057410973e-05
4,1.5381515005078003e-05
5,1.5386432002551968e-05
6,1.5386432002551968e-05
7,1.4592186384030865e-05
8,1.4592186384030865e-05
9,1.4596851057410973e-05
10,1.5276902251303107e-05
11,1.45881424605903e-05
12,1.45881424605903e-05
13,1.5381515005078003e-05
14,1.5381515005078003e-05
15,1.7418348518577498e-05
16,1.7418348518577498e-05
17,2.1746718804887307e-05
18,2.1746718804887307e-05
19,2.1746718804887307e-05
20,2.1746718804887307e-05
21,2.1746718804887307e-05
22,1.5381515005078003e-05
23,1.5381515005078003e-05
24,1.5381515005078003e-05
25,2.1746718804887307e-05
26,2.1746718804887307e-05
27,2.1746718804887307e-05
28,1.5381515005078003e-05
29,1.5381515005078003e-05
30,2.7335828905399016e-05
31,2.7335828905399016e-05
32,2.4320310640051443e-05
33,2.4320310640051443e-05
34,2.4320310640051443e-05
35,2.4320310640051443e-05
36,2.4320310640051443e-05
37,2.4320310640051443e-05
38,2.4328085095684956e-05
39,2.4328085095684956e-05
40,2.1617869588634566e-05
41,2.416951296445615e-05
42,2.4328085095684956e-05
43,2.4328085095684956e-05
44,2.064306473333065e-05
45,2.064306473333065e-05
46,2.4328085095684956e-05
47,2.4336893143053736e-05
48,2.4336893143053736e-05
49,2.734468242422899e-05
50,2.734468242422899e-05
51,2.065053860935882e-05
52,2.4328085095684956e-05
53,2.417837877882927e-05
54,2.1767578971606667e-05
55,1.7556679320508604e-05
56,1.7556679320508604e-05
57,1.7556679320508604e-05
58,2.0658888565191757e-05
59,2.1767578971606667e-05
60,2.1776380597871293e-05
61,1.7564519040765585e-05
62,1.549844167717896e-05
63,2.020749565175161e-05
64,1.3785474906494058e-05
65,1.7573101388089218e-05
66,1.7564519040765585e-05
67,2.178610457408458e-05
68,1.5412629496519135e-05
69,2.0216402771010555e-05
70,1.5512751736755693e-05
71,2.1927767542808345e-05
72,1.550527312580206e-05
73,1.550527312580206e-05
74,1.7564519040765585e-05
75,2.0216402771010555e-05
76,1.7573101388089218e-05
77,1.7573101388089218e-05
78,1.7573101388089218e-05
79,2.1938343895846688e-05
80,2.1938343895846688e-05
81,1.5512751736755693e-05
82,2.1927767542808345e-05
83,2.1927767542808345e-05
84,2.0216402771010555e-05
85,2.0216402771010555e-05
86,2.0216402771010555e-05
87,2.0216402771010555e-05
88,1.7687258305912814e-05
89,2.1927767542808345e-05
90,2.178610457408458e-05
91,1.5512751736755693e-05
92,2.178610457408458e-05
93,2.178610457408458e-05
94,2.178610457408458e-05
95,2.0226153686713857e-05
96,2.178610457408458e-05
97,2.1938343895846688e-05
98,2.1938343895846688e-05
99,2.179674966580897e-05
100,2.0216402771010555e-05
101,2.0216402771010555e-05
102,1.5512751736755693e-05
103,2.1927767542808345e-05
104,1.7687258305912814e-05
105,1.7678731377489603e-05
106,1.550527312580206e-05
107,1.7678731377489603e-05
108,1.550527312580206e-05
109,1.9612791528213193e-05
110,2.0085795967200468e-05
111,1.4709593646159895e-05
112,1.4709593646159895e-05
113,1.4709593646159895e-05
114,1.4709593646159895e-05
115,1.5405102279974467e-05
116,1.4709593646159895e-05
117,2.0216402771010555e-05
118,2.0216402771010555e-05
119,2.0216402771010555e-05
120,2.0216402771010555e-05
121,1.7564519040765585e-05
122,1.9612791528213193e-05
123,2.0085795967200468e-05
124,1.4614563237771665e-05
125,1.4614563237771665e-05
126,1.5405102279974467e-05
127,1.5405102279974467e-05
128,1.7573101388089218e-05
129,1.5412629496519135e-05
130,1.550527312580206e-05
131,2.0216402771010555e-05
132,2.0085795967200468e-05
133,2.0216402771010555e-05
134,1.550527312580206e-05
135,1.550527312580206e-05
136,1.550527312580206e-05
137,1.550527312580206e-05
138,1.550527312580206e-05
139,1.550527312580206e-05
140,1.550527312580206e-05
141,1.550527312580206e-05
142,1.550527312580206e-05
143,1.550527312580206e-05
144,1.517851351919275e-05
145,1.517851351919275e-05
146,1.0055618981939448e-05
147,1.0055618981939448e-05
148,2.071529662285746e-05
149,1.8235473631784523e-05
150,1.8235473631784523e-05
151,1.4310439783670508e-05
152,1.8242302926257608e-05
153,1.8235473631784523e-05
154,1.8242302926257608e-05
155,1.8242302926257608e-05
156,1.8235473631784523e-05
157,1.8235473631784523e-05
158,2.527957536728303e-05
159,2.1457623666479068e-05
160,2.1315864369764676e-05
161,2.1315864369764676e-05
162,2.1457623666479068e-05
163,2.1457623666479068e-05
164,2.5288052004527162e-05
165,2.5288052004527162e-05
166,2.1450431001266686e-05
167,2.824173322161702e-05
168,2.4970985647032403e-05
169,2.8251445254285696e-05
170,2.8251445254285696e-05
171,2.8251445254285696e-05
172,2.498057637960069e-05
173,2.498057637960069e-05
174,2.1315864369764676e-05
175,1.812802492295584e-05
176,2.1323102426765734e-05
177,2.1323102426765734e-05
178,2.1188583940714272e-05
179,2.1196721947156972e-05
180,2.1196721947156972e-05
181,1.8013749805458975e-05
182,2.1062258241596265e-05
183,2.1188583940714272e-05
184,2.4812457398320502e-05
185,2.8072091014807597e-05
186,2.8072091014807597e-05
187,2.480381822844907e-05
188,2.8072091014807597e-05
189,2.8062316909847736e-05
190,2.824173322161702e-05
191,2.4812457398320502e-05
192,2.4812457398320502e-05
193,2.4812457398320502e-05
194,2.4653932520834886e-05
195,2.1054068261105697e-05
196,1.7892517483982078e-05
197,1.7892517483982078e-05
198,2.0919555442077482e-05
199,2.0919555442077482e-05
200,2.4653932520834886e-05
201,2.0919555442077482e-05
202,2.1054068261105697e-05
203,2.1062258241596265e-05
204,2.4495411080027388e-05
205,2.1909361724697114e-05
206,1.5598659696456562e-05
207,1.559251600918697e-05
208,1.559251600918697e-05
209,1.549225824700232e-05
210,1.7663892132521496e-05
211,1.7670942327651716e-05
212,2.065053860935882e-05
213,2.065053860935882e-05
214,1.549225824700232e-05
215,1.549225824700232e-05
216,1.549225824700232e-05
217,1.549225824700232e-05
218,1.549225824700232e-05
219,1.549225824700232e-05
220,1.5392002700836768e-05
221,1.754958322255364e-05
222,1.0883789485803333e-05
223,9.798164432010956e-06
224,9.798164432010956e-06
225,9.798164432010956e-06
226,9.734757257221493e-06
227,1.0883789485803333e-05
228,9.734757257221493e-06
229,1.7435276888931866e-05
230,1.7435276888931866e-05
231,1.7435276888931866e-05
232,1.7435276888931866e-05
233,1.450170777867369e-05
234,1.4596851057410973e-05
235,1.5291749414276207e-05
236,1.5291749414276207e-05
237,1.5291749414276207e-05
238,1.5291749414276207e-05
239,1.4596851057410973e-05
240,1.5386432002551968e-05
241,1.5386432002551968e-05
242,1.7435276888931866e-05
243,1.7435276888931866e-05
244,1.5392002700836768e-05
245,1.5392002700836768e-05
246,1.528614218092994e-05
247,1.0808934794317283e-05
248,1.3762043155553768e-05
249,1.742888365926766e-05
250,1.754323164926867e-05
251,1.5386432002551968e-05
252,1.7537625409583583e-05
253,1.7537625409583583e-05
254,1.754323164926867e-05
255,1.754323164926867e-05
256,1.5386432002551968e-05
257,1.5386432002551968e-05
258,1.5386432002551968e-05
259,1.5386432002551968e-05
260,1.5386432002551968e-05
261,1.5386432002551968e-05
262,1.5386432002551968e-05
263,1.5386432002551968e-05
264,2.005504192335303e-05
265,2.005504192335303e-05
266,2.005504192335303e-05
267,2.005504192335303e-05
268,1.742888365926766e-05
269,1.3677356474085676e-05
270,1.0742011557691658e-05
271,1.0742011557691658e-05
272,1.0812899707040122e-05
273,1.528614218092994e-05
274,1.528614218092994e-05
275,1.0808934794317283e-05
276,1.4497012491272162e-05
277,1.742888365926766e-05
278,1.742888365926766e-05
279,1.742888365926766e-05
280,2.1610870267432087e-05
281,2.037396134844553e-05
282,2.4003066539508848e-05
283,2.050851181817174e-05
284,2.050851181817174e-05
285,2.4161687485453604e-05
286,2.4161687485453604e-05
287,2.4161687485453604e-05
288,2.4161687485453604e-05
289,2.063646788897246e-05
290,2.063646788897246e-05
291,2.063646788897246e-05
292,2.063646788897246e-05
293,2.416951296445615e-05
294,2.1938343895846688e-05
295,2.1938343895846688e-05
296,2.1927767542808345e-05
297,2.0216402771010555e-05
298,2.0216402771010555e-05
299,1.4804627187119372e-05
300,1.550527312580206e-05
301,1.550527312580206e-05
302,1.5512751736755693e-05
303,1.0963883771404173e-05
304,1.550527312580206e-05
305,2.0085795967200468e-05
306,1.9612791528213193e-05
307,2.0085795967200468e-05
308,2.0085795967200468e-05
309,1.5405102279974467e-05
310,1.5405102279974467e-05
311,1.5405102279974467e-05
312,1.5405102279974467e-05
313,2.0085795967200468e-05
314,2.0085795967200468e-05
315,2.0216402771010555e-05
316,1.5412629496519135e-05
317,2.0216402771010555e-05
318,1.550527312580206e-05
319,1.5405102279974467e-05
320,1.5405102279974467e-05
321,1.5405102279974467e-05
322,1.0969171947923344e-05
323,1.5405102279974467e-05
324,1.5405102279974467e-05
325,1.5405102279974467e-05
326,1.5405102279974467e-05
327,1.5405102279974467e-05
328,1.5405102279974467e-05
329,1.5405102279974467e-05
330,1.5405102279974467e-05
331,1.550527312580206e-05
332,1.5405102279974467e-05
333,1.550527312580206e-05
334,1.550527312580206e-05
335,1.7556679320508604e-05
336,1.549844167717896e-05
337,1.549844167717896e-05
338,1.549844167717896e-05
339,1.5398226390453958e-05
340,1.5398226390453958e-05
341,1.5398226390453958e-05
342,1.5398226390453958e-05
343,1.5398226390453958e-05
344,1.4608040196224316e-05
345,1.4608040196224316e-05
346,1.4608040196224316e-05
347,1.608380656330333e-05
348,1.608380656330333e-05
349,1.6088508926667965e-05
350,1.6088508926667965e-05
351,1.6088508926667965e-05
352,1.6088508926667965e-05
353,1.6088508926667965e-05
354,1.6088508926667965e-05
355,1.6088508926667965e-05
356,1.6088508926667965e-05
357,1.6088508926667965e-05
358,1.6088508926667965e-05
359,1.6088508926667965e-05
360,1.6088508926667965e-05
361,1.6088508926667965e-05
362,1.6088508926667965e-05
363,1.6088508926667965e-05
364,1.6088508926667965e-05
365,1.6088508926667965e-05
366,1.6088508926667965e-05
367,1.6088508926667965e-05
368,1.6088508926667965e-05
369,1.6088508926667965e-05
370,1.6088508926667965e-05
371,1.6088508926667965e-05
372,1.6088508926667965e-05
373,1.6088508926667965e-05
374,1.6088508926667965e-05
375,1.6088508926667965e-05
376,1.6088508926667965e-05
377,1.6088508926667965e-05
378,1.6088508926667965e-05
379,1.6088508926667965e-05
380,1.6088508926667965e-05
381,1.6088508926667965e-05
382,1.6088508926667965e-05
383,1.6088508926667965e-05
384,1.6088508926667965e-05
385,1.6088508926667965e-05
386,1.6088508926667965e-05
387,1.6088508926667965e-05
388,1.6088508926667965e-05
389,1.6088508926667965e-05
390,1.6088508926667965e-05
391,1.6088508926667965e-05
392,1.6088508926667965e-05
393,1.6088508926667965e-05
394,1.6088508926667965e-05
395,1.6088508926667965e-05
396,1.6088508926667965e-05
397,1.6088508926667965e-05
398,1.6088508926667965e-05
399,1.6088508926667965e-05
400,1.6088508926667965e-05
401,1.6088508926667965e-05
402,1.6088508926667965e-05
403,1.6088508926667965e-05
404,1.6088508926667965e-05
405,1.6088508926667965e-05
406,1.6088508926667965e-05
407,1.6088508926667965e-05
408,1.6088508926667965e-05
409,1.6088508926667965e-05
410,1.6088508926667965e-05
411,1.6088508926667965e-05
412,1.6088508926667965e-05
413,1.6088508926667965e-05
414,1.6088508926667965e-05
415,1.6088508926667965e-05
416,1.6088508926667965e-05
417,1.6088508926667965e-05
418,1.6088508926667965e-05
419,1.6088508926667965e-05
420,1.6088508926667965e-05
421,1.6088508926667965e-05
422,1.6088508926667965e-05
423,1.6088508926667965e-05
424,1.6088508926667965e-05
425,1.6088508926667965e-05
426,1.6088508926667965e-05
427,1.6088508926667965e-05
428,1.6088508926667965e-05
429,1.6088508926667965e-05
430,1.6088508926667965e-05
431,1.6088508926667965e-05
432,1.6088508926667965e-05
433,1.6088508926667965e-05
434,1.6088508926667965e-05
435,1.6088508926667965e-05
436,1.6088508926667965e-05
437,1.6088508926667965e-05
438,1.6088508926667965e-05
439,1.6088508926667965e-05
440,1.6088508926667965e-05
441,1.6088508926667965e-05
442,1.6088508926667965e-05
443,1.6088508926667965e-05
444,1.6088508926667965e-05
445,1.6088508926667965e-05
446,1.7663892132521496e-05
447,1.549225824700232e-05
448,1.549225824700232e-05
449,1.5392002700836768e-05
450,1.5392002700836768e-05
451,1.754958322255364e-05
452,1.754958322255364e-05
453,1.754958322255364e-05
454,1.754958322255364e-05
455,1.0812899707040122e-05
456,1.0812899707040122e-05
457,1.0883789485803333e-05
458,1.0883789485803333e-05
459,1.3677356474085676e-05
460,1.3677356474085676e-05
461,9.731234038273982e-06
462,1.0808934794317283e-05
463,1.0808934794317283e-05
464,1.0808934794317283e-05
465,1.528119291344397e-05
466,1.528119291344397e-05
467,1.4596851057410973e-05
468,1.4596851057410973e-05
469,1.0879850407270208e-05
470,1.0879850407270208e-05
471,1.0879850407270208e-05
472,1.0879850407270208e-05
473,1.0879850407270208e-05
474,1.0879850407270208e-05
475,1.528119291344397e-05
476,1.528119291344397e-05
477,1.5381515005078003e-05
478,1.742888365926766e-05
479,1.742888365926766e-05
480,1.5381515005078003e-05
481,1.528119291344397e-05
482,1.528614218092994e-05
483,1.528614218092994e-05
484,1.528614218092994e-05
485,1.5386432002551968e-05
486,1.5386432002551968e-05
487,1.5386432002551968e-05
488,1.5386432002551968e-05
489,1.5386432002551968e-05
490,1.5386432002551968e-05
491,1.5386432002551968e-05
492,1.5386432002551968e-05
493,1.5386432002551968e-05
494,1.5386432002551968e-05
495,1.5386432002551968e-05
496,1.742888365926766e-05
497,1.528119291344397e-05
498,1.528119291344397e-05
499,1.4596851057410973e-05
500,1.450170777867369e-05
501,1.450170777867369e-05
502,1.4596851057410973e-05
503,1.450170777867369e-05
504,1.450170777867369e-05
505,1.450170777867369e-05
506,1.528614218092994e-05
507,1.742888365926766e-05
508,1.742888365926766e-05
509,1.7435276888931866e-05
510,1.7435276888931866e-05
511,2.1759700814540415e-05
512,1.5392002700836768e-05
513,1.5386432002551968e-05
514,1.742888365926766e-05
515,2.175274713002658e-05
516,2.4320310640051443e-05
517,2.063646788897246e-05
518,2.063646788897246e-05
519,2.063646788897246e-05
520,2.416951296445615e-05
521,3.07389234263685e-05
522,2.4161687485453604e-05
523,2.4161687485453604e-05
524,2.4161687485453604e-05
525,2.416951296445615e-05
526,2.050187167904926e-05
527,2.7335828905399016e-05
528,2.4161687485453604e-05
529,2.4161687485453604e-05
530,2.4161687485453604e-05
531,2.4161687485453604e-05
532,3.07389234263685e-05
533,2.7335828905399016e-05
534,2.4161687485453604e-05
535,2.4161687485453604e-05
536,2.4161687485453604e-05
537,2.4154903352935915e-05
538,1.528119291344397e-05
539,1.528119291344397e-05
540,1.3667914452699508e-05
541,1.528119291344397e-05
542,1.4401839923705309e-05
543,1.528119291344397e-05
544,9.66780518578246e-06
545,1.0805435133716044e-05
546,9.728124256020577e-06
547,9.728124256020577e-06
548,9.731234038273982e-06
549,1.4592186384030865e-05
550,1.5381515005078003e-05
551,1.5381515005078003e-05
552,1.45881424605903e-05
553,1.45881424605903e-05
554,1.9450856614120398e-05
555,1.9456248512041154e-05
556,1.528614218092994e-05
557,1.528614218092994e-05
558,1.4592186384030865e-05
559,1.528119291344397e-05
560,1.4592186384030865e-05
561,1.5381515005078003e-05
562,1.528119291344397e-05
563,1.528119291344397e-05
564,1.5381515005078003e-05
565,1.5381515005078003e-05
566,1.5381515005078003e-05
567,1.4596851057410973e-05
568,1.5381515005078003e-05
569,1.5386432002551968e-05
570,1.5386432002551968e-05
571,1.4592186384030865e-05
572,1.4592186384030865e-05
573,1.4596851057410973e-05
574,1.5276902251303107e-05
575,1.45881424605903e-05
576,1.45881424605903e-05
577,1.5381515005078003e-05
578,1.5381515005078003e-05
579,1.7418348518577498e-05
580,1.7418348518577498e-05
581,2.1746718804887307e-05
582,2.1746718804887307e-05
583,2.1746718804887307e-05
584,2.1746718804887307e-05
585,2.1746718804887307e-05
586,1.5381515005078003e-05
587,1.5381515005078003e-05
588,1.5381515005078003e-05
589,2.1746718804887307e-05
590,2.1746718804887307e-05
591,2.1746718804887307e-05
592,1.5381515005078003e-05
593,1.5381515005078003e-05
594,2.7335828905399016e-05
595,2.7335828905399016e-05
596,1.599955807210232e-05
597,1.599955807210232e-05
598,1.599955807210232e-05
599,1.599955807210232e-05
600,1.599955807210232e-05
601,1.599955807210232e-05
602,1.599955807210232e-05
603,1.599955807210232e-05
604,1.599955807210232e-05
605,1.599955807210232e-05
606,1.599955807210232e-05
607,1.599955807210232e-05
608,1.599955807210232e-05
609,1.599955807210232e-05
610,1.599955807210232e-05
611,1.599955807210232e-05
612,1.599955807210232e-05
613,1.599955807210232e-05
614,1.599955807210232e-05
615,1.599955807210232e-05
616,1.599955807210232e-05
617,1.599955807210232e-05
618,1.599955807210232e-05
619,1.599955807210232e-05
620,1.599955807210232e-05
621,1.599955807210232e-05
622,1.599955807210232e-05
623,1.599955807210232e-05
624,1.599955807210232e-05
625,1.599955807210232e-05
626,1.599955807210232e-05
627,1.599955807210232e-05
628,1.599955807210232e-05
629,1.599955807210232e-05
630,1.599955807210232e-05
631,1.599955807210232e-05
632,1.599955807210232e-05
633,1.599955807210232e-05
634,1.599955807210232e-05
635,1.599955807210232e-05
636,1.599955807210232e-05
637,1.599955807210232e-05
638,1.599955807210232e-05
639,1.599955807210232e-05
640,1.599955807210232e-05
641,1.589932963287611e-05
642,1.1380061002843654e-05
643,1.1384269974091273e-05
644,1.6099788995076683e-05
645,2.2752587522454446e-05
646,1.8578450453900862e-05
647,2.274593737640897e-05
648,1.872361740021093e-05
649,1.860947684739758e-05
650,1.4508939025210537e-05
651,1.8592559778474016e-05
652,1.4591564314910515e-05
653,1.8829060127964167e-05
654,2.1261405527340283e-05
655,1.6313864853100032e-05
656,1.6313864853100032e-05
657,1.6313864853100032e-05
658,1.6313864853100032e-05
659,1.6313864853100032e-05
660,1.6313864853100032e-05
661,1.6313864853100032e-05
662,1.4688013921341684e-05
663,1.5993568384618493e-05
664,1.4400089046557794e-05
665,1.8470867376023156e-05
666,1.4316358721054073e-05
667,1.1318075339636513e-05
668,1.1247232616507364e-05
669,1.5089746013557973e-05
670,1.599955807210232e-05
671,1.599955807210232e-05
672,1.599955807210232e-05
673,1.599955807210232e-05
674,1.517851351919275e-05
675,2.0983795668484426e-05
676,2.0983795668484426e-05
677,2.0983795668484426e-05
678,2.0983795668484426e-05
679,1.599955807210232e-05
680,1.599955807210232e-05
681,1.600617564527443e-05
682,1.599955807210232e-05
683,2.086087149316578e-05
684,1.600617564527443e-05
685,1.599955807210232e-05
686,1.609383661085466e-05
687,1.599955807210232e-05
688,1.599955807210232e-05
689,2.0238018025590333e-05
690,1.5993568384618493e-05
691,1.6099788995076683e-05
692,1.5172831202716299e-05
693,1.5172831202716299e-05
694,1.589330217247964e-05
695,1.1242523799726919e-05
696,1.1242523799726919e-05
697,1.589330217247964e-05
698,1.5172831202716299e-05
699,1.1242523799726919e-05
700,1.589330217247964e-05
701,1.589330217247964e-05
702,2.0223660293826424e-05
703,1.5172831202716299e-05
704,1.5273600921766714e-05
705,1.589330217247964e-05
706,1.5993568384618493e-05
707,1.5993568384618493e-05
708,1.1384269974091273e-05
709,1.0182400614511142e-05
710,1.517851351919275e-05
711,1.517851351919275e-05
712,1.0055618981939448e-05
713,1.0055618981939448e-05
714,2.071529662285746e-05
715,1.8235473631784523e-05
716,1.8235473631784523e-05
717,1.4310439783670508e-05
718,1.8242302926257608e-05
719,1.8235473631784523e-05
720,1.8242302926257608e-05
721,1.8242302926257608e-05
722,1.8235473631784523e-05
723,1.8235473631784523e-05
724,2.527957536728303e-05
725,2.1457623666479068e-05
726,2.1315864369764676e-05
727,2.1315864369764676e-05
728,2.1457623666479068e-05
729,2.1457623666479068e-05
730,2.5288052004527162e-05
731,2.5288052004527162e-05
732,2.1450431001266686e-05
733,2.824173322161702e-05
734,2.4970985647032403e-05
735,2.8251445254285696e-05
736,2.8251445254285696e-05
737,2.8251445254285696e-05
738,2.498057637960069e-05
739,2.498057637960069e-05
740,2.1315864369764676e-05
741,1.812802492295584e-05
742,2.1323102426765734e-05
743,2.1323102426765734e-05
744,2.1188583940714272e-05
745,2.1196721947156972e-05
746,1.4592186384030865e-05
